1789832789,0.00054,0.00584,-0.00187,0.70706,-0.70706,0.00018,0.01161,0.00242,-0.00025,-0.00423,
1789832789,0.00049,0.00581,-0.00188,0.70705,-0.70707,-0.00015,0.01169,0.00288,-0.00081,-0.00431,
1789832789,-0.00087,0.00654,-0.00145,0.70726,-0.70686,0.00023,0.01151,0.00326,-0.00307,-0.00132,
1789832789,-0.00073,0.00620,-0.00125,0.70750,-0.70662,0.00046,0.01143,0.00117,-0.00487,-0.00123,
1789832789,-0.00054,0.00563,-0.00114,0.70784,-0.70628,0.00041,0.01155,0.00371,-0.00841,0.00028,
1789832789,-0.00033,0.00506,-0.00107,0.70824,-0.70588,0.00035,0.01150,0.00371,-0.01108,0.00060,
1789832789,-0.00094,0.00383,0.00002,0.70874,-0.70538,0.00045,0.01114,0.00495,-0.01325,0.00250,
1789832789,-0.00079,0.00270,0.00024,0.70918,-0.70494,0.00090,0.01069,0.00496,-0.01426,0.00068,
1789832789,-0.00065,0.00163,0.00042,0.70927,-0.70486,0.00143,0.01017,0.00629,-0.01703,0.00082,
1789832789,-0.00036,0.00054,0.00041,0.70920,-0.70495,0.00262,0.00889,0.00910,-0.02136,0.00120,
1789832790,0.00007,-0.00116,0.00080,0.70965,-0.70450,0.00388,0.00758,0.00917,-0.02612,0.00246,
1789832790,0.00057,-0.00265,0.00102,0.70931,-0.70485,0.00473,0.00689,0.00884,-0.02245,0.00208,
1789832790,0.00083,-0.00413,0.00084,0.70892,-0.70524,0.00514,0.00655,0.00369,-0.03810,0.00831,
1789832790,0.00085,-0.00619,0.00158,0.70955,-0.70461,0.00530,0.00625,-0.00054,-0.01514,-0.00317,
1789832790,0.00066,-0.00745,0.00123,0.70839,-0.70578,0.00521,0.00618,0.00472,-0.03776,0.00918,
1789832790,0.00109,-0.00920,0.00162,0.70879,-0.70537,0.00568,0.00593,0.00639,-0.01460,-0.00096,
1789832790,0.00111,-0.01089,0.00170,0.70872,-0.70544,0.00660,0.00475,0.00904,-0.02137,0.00351,
1789832790,0.00171,-0.01156,0.00184,0.70838,-0.70578,0.00842,0.00305,0.01230,-0.01080,0.00313,
1789832790,0.00202,-0.01182,0.00163,0.70808,-0.70606,0.00960,0.00177,0.00716,-0.00502,0.00185,
1789832790,0.00215,-0.01210,0.00182,0.70861,-0.70553,0.00983,0.00185,0.00292,-0.00361,0.00268,
1789832790,0.00232,-0.01197,0.00191,0.70881,-0.70532,0.00987,0.00208,0.00490,0.00455,-0.00033,
1789832790,0.00243,-0.01133,0.00175,0.70866,-0.70547,0.01000,0.00217,0.00621,0.00998,-0.00197,
1789832790,0.00249,-0.01041,0.00138,0.70855,-0.70558,0.01023,0.00248,0.00266,0.01330,-0.00319,
1789832790,0.00253,-0.00920,0.00090,0.70842,-0.70571,0.01050,0.00296,0.00421,0.01434,-0.00366,
1789832790,0.00241,-0.00822,0.00052,0.70893,-0.70520,0.01027,0.00384,0.00250,0.01415,-0.00330,
1789832791,0.00214,-0.00690,0.00023,0.70858,-0.70554,0.01005,0.00468,0.00230,0.01846,-0.00388,
1789832791,0.00198,-0.00557,-0.00007,0.70910,-0.70501,0.00931,0.00675,-0.00502,0.01576,-0.00278,
1789832791,0.00121,-0.00417,-0.00011,0.70941,-0.70469,0.00791,0.00935,-0.00266,0.02009,-0.00357,
1789832791,0.00052,-0.00297,-0.00000,0.70997,-0.70410,0.00750,0.01109,-0.00341,0.01643,-0.00149,
1789832791,0.00020,-0.00168,0.00028,0.71003,-0.70402,0.00805,0.01194,0.00095,0.02250,-0.00259,
1789832791,-0.00026,0.00010,-0.00006,0.70928,-0.70475,0.00816,0.01342,0.00068,0.01654,-0.00080,
1789832791,-0.00028,0.00095,0.00015,0.70982,-0.70419,0.00923,0.01396,0.00380,0.01251,0.00205,
1789832791,-0.00069,0.00235,-0.00011,0.70874,-0.70524,0.00939,0.01514,-0.00455,0.02323,-0.00638,
1789832791,-0.00070,0.00363,-0.00033,0.70859,-0.70535,0.00951,0.01705,-0.00102,0.00506,0.00387,
1789832791,-0.00114,0.00440,0.00005,0.70824,-0.70567,0.00998,0.01822,-0.00180,0.02107,-0.00622,
1789832791,-0.00128,0.00522,-0.00010,0.70824,-0.70563,0.01093,0.01898,0.00413,0.00311,0.00468,
1789832791,-0.00099,0.00573,0.00017,0.70783,-0.70602,0.01164,0.01909,-0.00441,0.01700,-0.00543,
1789832791,-0.00121,0.00634,-0.00022,0.70687,-0.70694,0.01187,0.02049,-0.00261,0.00782,-0.00173,
1789832791,-0.00145,0.00644,-0.00022,0.70698,-0.70680,0.01182,0.02179,-0.00270,0.00238,0.00003,
1789832791,-0.00192,0.00695,-0.00027,0.70656,-0.70720,0.01126,0.02266,-0.00212,0.00873,-0.00458,
1789832792,-0.00206,0.00706,-0.00039,0.70651,-0.70725,0.01152,0.02271,0.00062,-0.00000,-0.00065,
1789832792,-0.00198,0.00716,-0.00039,0.70647,-0.70728,0.01152,0.02289,0.00026,0.00173,-0.00237,
1789832792,-0.00161,0.00532,-0.00017,0.70756,-0.70617,0.01164,0.02323,0.00698,-0.01158,-0.00025,
1789832792,-0.00168,0.00446,0.00006,0.70805,-0.70568,0.01187,0.02326,0.00551,-0.01409,0.00224,
1789832792,-0.00173,0.00356,0.00047,0.70840,-0.70533,0.01232,0.02307,0.00287,-0.01256,0.00499,
1789832792,-0.00138,0.00235,0.00056,0.70906,-0.70466,0.01246,0.02304,0.00513,-0.02147,0.00274,
1789832792,-0.00172,0.00114,0.00102,0.70908,-0.70464,0.01272,0.02295,0.00125,-0.01728,0.00324,
1789832792,-0.00190,-0.00008,0.00115,0.70918,-0.70454,0.01356,0.02227,0.00346,-0.01488,0.00140,
1789832792,-0.00099,-0.00110,0.00061,0.70837,-0.70536,0.01422,0.02173,0.00914,-0.02602,0.00049,
1789832792,-0.00131,-0.00312,0.00103,0.70910,-0.70463,0.01486,0.02131,0.00195,-0.02745,0.00193,
1789832792,-0.00095,-0.00420,0.00115,0.70827,-0.70546,0.01528,0.02116,0.00539,-0.01319,-0.00062,
1789832793,-0.00085,-0.00609,0.00082,0.70905,-0.70467,0.01571,0.02100,0.00204,-0.03655,0.00321,
1789832793,-0.00077,-0.00741,0.00151,0.70843,-0.70529,0.01611,0.02078,0.00067,-0.01117,0.00000,
1789832793,-0.00091,-0.00902,0.00123,0.70884,-0.70487,0.01673,0.02033,0.00675,-0.02952,0.00375,
